TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAge_bin,TransactionAmount_bin,Target
568.52,1,16,0,46.0,1,151.99999999999997,1.0,5499.91,0,0,2
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,0,0,2
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,2,1,0
5.77,1,5,2,50.0,0,123.99999999999999,1.0,13988.12,0,0,1
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,0,0,0
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,2,0,2
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,1,0,1
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,2,0,1
189.12,0,16,3,32.0,1,103.0,1.0,977.01,1,0,2
133.55,1,1,0,44.0,1,220.0,1.0,3846.2800000000007,0,0,1
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,1,0,1
24.77,1,4,0,62.0,2,55.0,1.0,5866.01,2,0,1
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,1,0,2
232.12,1,43,0,37.0,1,51.00000000000001,1.0,6689.87,0,0,3
91.53,1,25,1,44.0,0,69.00000000000001,1.0,14676.05,0,0,0
120.29,1,24,1,19.0,3,77.0,1.0,1362.39,1,0,0
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,0,0,3
183.71,1,10,0,38.0,1,102.0,1.0,552.52,0,0,1
345.39,0,31,3,58.0,1,80.0,1.0,6451.96,2,0,0
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,0,0,1
154.71,1,36,2,34.0,0,157.0,1.0,1523.72,1,0,3
24.56,1,23,1,64.0,0,69.00000000000001,1.0,9869.93,2,0,0
568.07,2,42,0,48.0,0,115.0,1.0,10556.81,0,0,3
9.61,0,36,2,58.0,0,179.0,1.0,12883.91,2,0,3
392.96,1,18,2,24.0,3,100.00000000000001,1.0,791.65,1,0,2
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,2,1,0
230.66,1,15,1,21.0,3,135.0,1.0,618.05,1,0,2
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,1,1,3
508.67999999999995,0,23,1,51.0,1,127.0,1.0,7708.41,0,0,0
858.63,0,37,1,27.0,3,185.0,1.0,1872.96,1,1,3
25.36,1,21,0,57.0,1,78.0,1.0,201.04,2,0,2
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,2,0,1
115.02,1,35,1,37.0,0,175.0,1.0,7643.66,0,0,3
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,1,0,2
98.54,0,12,2,20.0,3,167.0,1.0,9383.43,1,0,2
83.24,2,13,1,55.0,0,164.0,1.0,1181.31,0,0,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,1,0,3
129.94,1,19,0,32.0,1,235.0,1.0,7954.919999999999,1,0,2
306.9,1,7,2,46.0,1,51.00000000000001,1.0,9418.08,0,0,1
114.98,1,39,2,59.0,2,80.0,1.0,6144.68,2,0,3
756.59,1,34,1,27.0,3,17.0,1.0,420.65,1,1,3
503.76000000000005,1,20,2,22.0,3,35.0,1.0,447.82,1,0,2
143.03,1,35,0,63.0,2,147.0,1.0,7981.450000000001,2,0,3
245.54,2,27,0,25.0,3,180.0,1.0,985.0600000000001,1,0,0
254.37000000000003,0,9,2,51.0,1,174.0,1.0,8849.26,0,0,1
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,2,0,1
327.86,1,14,2,40.0,1,104.0,1.0,480.16,0,0,2
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,0,0,3
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,2,0,1
407.65,1,4,2,26.0,1,61.99999999999999,1.0,8346.64,1,0,1
115.83,1,14,1,39.0,1,167.0,1.0,6481.04,0,0,2
53.57,1,15,0,69.0,2,121.0,1.0,1651.33,2,0,2
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,0,0,1
317.87,1,11,2,27.0,3,91.0,1.0,145.5,1,0,1
331.65,1,32,2,41.0,1,61.00000000000001,1.0,4172.57,0,0,0
5.04,1,42,0,56.0,2,41.0,1.0,5558.36,2,0,3
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,2,0,1
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,2,1,0
841.28,1,40,2,26.0,3,80.0,1.0,1103.64,1,1,3
38.15,1,23,2,26.0,3,107.99999999999999,1.0,303.68,1,0,0
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,1,0,0
302.45,0,35,1,78.0,2,40.0,1.0,5133.61,2,0,3
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,0,0,2
5.77,0,20,1,23.0,3,254.0,1.0,1117.97,1,0,2
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,2,0,1
16.16,1,25,0,50.0,0,123.99999999999999,1.0,14401.17,0,0,0
486.0799999999999,1,28,2,18.0,3,68.00000000000001,1.0,1748.69,3,0,0
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,1,0,3
234.57,1,6,2,23.0,3,120.0,1.0,263.98,1,0,1
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,1,0,1
227.14,1,5,0,18.0,3,294.0,1.0,341.94,3,0,1
233.74,0,28,2,66.0,2,17.0,1.0,1066.59,2,0,0
45.85,1,20,0,20.0,3,91.99999999999999,1.0,1659.15,1,0,2
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,2,0,2
265.76,1,30,2,54.0,2,91.99999999999999,1.0,4446.17,0,0,0
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,2,0,3
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,1,0,1
267.9,1,35,2,20.0,3,160.0,1.0,596.1599999999999,1,0,3
496.0299999999999,1,37,1,61.0,0,265.0,1.0,12904.66,2,0,3
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,0,0,3
83.02,0,39,2,36.0,1,171.0,1.0,9009.56,1,0,3
93.26,0,27,2,20.0,3,72.0,1.0,1152.2,1,0,0
803.37,0,22,1,68.0,0,129.0,1.0,12168.37,2,1,2
35.76,1,5,1,23.0,3,122.0,1.0,611.8599999999999,1,0,1
28.53,1,42,2,62.0,0,99.0,1.0,8670.53,2,0,3
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,0,0,2
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,1,0,1
60.650000000000006,0,40,1,56.0,2,53.00000000000001,1.0,1047.28,2,0,3
74.86,1,26,1,70.0,0,125.0,1.0,6921.48,2,0,0
231.91,1,22,0,34.0,1,165.0,1.0,112.76,1,0,2
126.20999999999998,1,3,1,75.0,2,268.0,1.0,5669.66,2,0,1
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,1,0,2
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,1,0,1
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,1,1,2
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,2,0,2
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,2,0,1
260.88,1,10,1,22.0,3,36.0,1.0,903.05,1,0,1
169.47,1,6,2,24.0,3,18.999999999999996,1.0,1806.16,1,0,1
73.23,1,32,1,26.0,3,14.0,1.0,787.7399999999999,1,0,0
792.57,1,3,0,19.0,3,164.0,1.0,770.37,1,1,1
237.06,1,31,2,71.0,2,45.99999999999999,1.0,1182.77,2,0,0
34.17,0,30,2,54.0,1,53.99999999999999,1.0,726.55,0,0,0
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,0,1,0
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,2,0,1
300.47,1,17,1,73.0,2,100.00000000000001,1.0,7885.64,2,0,2
110.93,0,41,1,19.0,3,201.0,1.0,1952.3499999999997,1,0,3
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,2,0,2
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,2,0,0
630.36,1,23,0,62.0,2,52.00000000000001,1.0,1363.65,2,1,0
10.94,0,30,0,60.0,1,245.0,1.0,1241.99,2,0,0
215.9,1,20,0,38.0,0,235.0,1.0,7873.280000000001,0,0,2
226.37,2,21,1,49.0,0,141.0,1.0,9840.04,0,0,2
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,0,0,2
280.57,0,41,2,25.0,3,24.0,1.0,293.24,1,0,3
488.54,1,17,1,52.0,1,132.0,1.0,7486.63,0,0,2
3.3,0,20,1,50.0,0,131.0,1.0,11385.37,0,0,2
199.39,2,7,1,69.0,2,165.0,1.0,7264.79,2,0,1
20.36,1,40,1,62.0,2,75.0,1.0,2762.48,2,0,3
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,0,0,1
307.41,1,20,0,19.0,3,14.0,1.0,1057.0,1,0,2
11.18,1,1,2,43.0,0,161.0,1.0,5956.89,0,0,1
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,2,0,3
140.98,1,22,1,60.0,1,100.00000000000001,1.0,8127.4800000000005,2,0,2
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,2,0,1
800.55,1,28,0,31.0,1,107.99999999999999,1.0,9660.22,1,1,0
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,0,0,2
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,0,0,2
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,2,0,0
432.08,2,12,0,40.0,0,145.0,1.0,11500.62,0,0,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,2,1,0
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,0,0,2
74.88,1,1,0,25.0,3,202.0,1.0,420.67,1,0,1
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,1,1,2
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,2,0,0
131.56,1,5,1,44.0,0,42.00000000000001,1.0,5873.54,0,0,1
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,2,0,0
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,2,0,1
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,1,0,3
506.24,1,6,0,58.0,1,64.0,1.0,230.09,2,0,1
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,2,0,2
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,0,0,3
581.65,1,4,0,22.0,3,176.0,1.0,480.19000000000005,1,1,1
52.01,1,23,0,48.0,0,85.0,1.0,1120.88,0,0,0
630.24,1,4,0,21.0,3,61.99999999999999,1.0,370.81,1,1,1
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,0,0,0
217.5,0,10,1,46.0,1,35.0,1.0,3057.4,0,0,1
91.48,1,13,0,51.0,0,141.0,1.0,14942.779999999999,0,0,2
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,0,0,3
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,2,0,0
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,0,1,2
368.91,2,41,1,54.0,0,14.0,1.0,829.7099999999999,0,0,3
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,0,0,2
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,1,0,2
177.08,1,19,3,35.0,0,85.0,1.0,13475.14,1,0,2
588.54,1,32,1,32.0,1,130.0,1.0,714.4499999999999,1,1,0
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,1,0,0
78.33,0,22,2,56.0,1,189.0,1.0,7255.33,2,0,2
40.66,1,21,1,59.0,2,156.0,1.0,1153.84,2,0,2
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,2,0,1
34.07,1,30,1,22.0,3,81.0,1.0,8709.77,1,0,0
492.06000000000006,1,14,2,23.0,3,74.0,1.0,857.9,1,0,2
842.01,0,41,2,53.0,0,185.0,1.0,509.45000000000005,0,1,3
73.55,1,1,0,51.0,1,158.0,1.0,2812.06,0,0,1
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,2,1,0
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,2,0,3
218.96,1,39,0,18.0,3,13.0,1.0,754.21,3,0,3
227.39,1,1,2,18.0,3,65.0,1.0,751.09,3,0,1
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,0,0,2
186.6,1,43,2,58.0,0,13.0,1.0,1508.72,2,0,3
341.15,1,38,2,18.0,3,148.0,1.0,511.36999999999995,3,0,3
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,2,0,2
312.88,0,32,1,54.0,1,44.0,1.0,233.21,0,0,0
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,1,0,1
23.3,1,20,0,59.0,1,161.0,1.0,6711.15,2,0,2
47.38,0,39,2,25.0,3,61.00000000000001,1.0,459.37,1,0,3
512.81,1,34,1,79.0,2,30.0,1.0,6994.34,2,0,3
488.15000000000003,1,21,1,43.0,1,168.00000000000003,1.0,7071.09,0,0,2
12.82,1,13,0,44.0,1,156.0,1.0,9045.19,0,0,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,0,0,2
270.72,0,42,2,26.0,1,53.00000000000001,1.0,6263.96,1,0,3
97.98,1,10,1,72.0,2,18.0,1.0,7460.329999999999,2,0,1
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,2,0,3
251.18000000000004,1,38,0,42.0,1,246.0,1.0,8303.9,0,0,3
44.52,1,12,2,28.0,3,205.0,1.0,314.28,1,0,2
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,1,0,1
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,0,0,0
167.14,1,10,2,76.0,2,20.0,1.0,3877.7299999999996,2,0,1
345.22,1,14,1,69.0,2,253.0,1.0,4046.5800000000004,2,0,2
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,2,0,0
671.73,1,42,1,58.0,1,53.99999999999999,1.0,5211.88,2,1,3
255.03999999999996,1,39,0,45.0,1,151.99999999999997,1.0,6217.86,0,0,3
45.77,1,30,2,25.0,3,109.0,1.0,5978.12,1,0,0
329.69,0,35,2,26.0,3,66.0,1.0,1671.66,1,0,3
11.92,1,36,3,53.0,0,52.00000000000001,1.0,14611.9,0,0,3
47.42,1,36,0,64.0,0,28.0,1.0,8253.52,2,0,3
35.99,1,24,1,63.0,2,129.0,1.0,4489.79,2,0,0
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,0,0,0
242.62,0,37,2,22.0,3,234.0,1.0,483.02000000000004,1,0,3
48.72,1,41,1,21.0,3,17.0,1.0,816.0799999999999,1,0,3
43.46,1,4,0,25.0,3,80.0,1.0,578.06,1,0,1
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,0,0,2
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,2,0,1
757.41,1,20,0,22.0,3,37.0,1.0,9532.42,1,1,2
20.54,1,13,1,51.0,1,72.0,1.0,5327.03,0,0,2
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,1,0,0
34.74,1,37,0,56.0,2,24.0,1.0,6827.57,2,0,3
689.54,1,28,1,27.0,3,93.0,1.0,1633.76,1,1,0
211.18,1,42,0,73.0,2,90.0,1.0,4069.1699999999996,2,0,3
211.36,0,13,1,51.0,1,286.0,1.0,7943.469999999999,0,0,2
744.41,0,15,2,39.0,1,107.0,1.0,8842.47,0,1,2
61.43,1,31,2,24.0,3,170.0,1.0,1882.77,1,0,0
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,0,0,0
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,1,0,0
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,2,0,3
241.10999999999999,1,8,1,30.0,0,55.0,1.0,12385.05,1,0,1
131.93,0,13,1,31.0,1,13.0,1.0,4547.06,1,0,2
20.28,1,28,2,36.0,1,213.0,1.0,2047.83,1,0,0
415.88,1,36,1,70.0,0,170.0,1.0,10008.33,2,0,3
100.66,1,9,1,50.0,0,144.0,1.0,14473.33,0,0,1
485.54,1,21,2,19.0,3,148.0,1.0,1533.32,1,0,2
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,0,0,2
711.3,1,38,1,21.0,3,51.00000000000001,1.0,955.4,1,1,3
12.23,1,15,0,42.0,1,139.0,1.0,7844.880000000001,0,0,2
350.94,1,7,0,20.0,3,64.0,1.0,221.56,1,0,1
301.85,1,8,2,54.0,1,25.000000000000004,1.0,6586.19,0,0,1
29.34,1,21,2,65.0,2,30.0,1.0,3944.82,2,0,2
231.71,1,33,1,27.0,3,148.0,1.0,1127.98,1,0,0
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,2,0,0
36.71,1,17,1,48.0,0,55.0,1.0,6459.38,0,0,2
138.12,0,20,1,53.0,0,281.0,1.0,1649.69,0,0,2
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,1,0,2
609.14,1,40,0,39.0,1,177.0,1.0,9033.87,0,1,3
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,1,0,2
870.43,1,20,1,29.0,0,55.0,1.0,10115.18,1,1,2
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,2,0,1
22.63,1,18,2,53.0,1,112.0,1.0,4438.03,0,0,2
182.19,1,23,1,26.0,3,53.00000000000001,1.0,1176.1,1,0,0
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,1,0,0
288.17,1,41,2,37.0,1,50.00000000000001,1.0,3653.11,0,0,3
118.77,1,1,1,55.0,1,123.0,1.0,2104.82,0,0,1
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,1,1,2
66.65,1,11,0,37.0,1,33.0,1.0,3559.96,0,0,1
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,2,0,1
138.95,1,42,2,71.0,2,30.0,1.0,6752.92,2,0,3
33.89,1,26,1,26.0,3,177.0,1.0,1444.75,1,0,0
23.71,1,1,1,58.0,0,164.0,1.0,10788.89,2,0,1
26.06,1,36,0,65.0,0,283.0,1.0,12893.63,2,0,3
17.07,1,20,1,27.0,1,44.0,1.0,2798.15,1,0,2
703.89,1,35,2,46.0,1,61.99999999999999,1.0,3583.67,0,1,3
26.55,1,15,0,77.0,2,228.0,1.0,3085.38,2,0,2
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,0,0,3
202.11,1,22,0,27.0,3,18.0,1.0,746.47,1,0,2
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,2,0,0
11.18,1,24,0,53.0,1,144.0,1.0,7467.300000000001,0,0,0
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,0,0,2
139.45,1,4,2,27.0,3,30.999999999999996,1.0,1305.76,1,0,1
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,1,0,1
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,0,0,1
516.72,1,23,0,42.0,1,128.0,1.0,2015.6900000000003,0,0,0
374.5,0,37,1,26.0,3,178.0,1.0,1671.51,1,0,3
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,2,0,0
626.9,1,6,0,23.0,3,146.0,1.0,587.1099999999999,1,1,1
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,2,0,1
788.84,1,31,2,58.0,2,231.0,1.0,1913.73,2,1,0
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,2,0,1
110.17,2,33,0,30.0,1,137.0,1.0,464.2,1,0,0
632.69,1,10,0,80.0,2,75.99999999999999,1.0,4363.74,2,1,1
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,2,0,0
43.85,1,14,0,62.0,2,122.0,1.0,4356.98,2,0,2
283.81,1,36,1,28.0,3,29.000000000000004,1.0,1519.35,1,0,3
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,2,0,3
218.59,0,10,1,40.0,1,123.0,1.0,6699.23,0,0,1
132.84,1,28,0,21.0,3,143.0,1.0,822.73,1,0,0
157.37,0,9,1,42.0,0,289.0,1.0,13964.31,0,0,1
144.77,1,0,2,20.0,3,159.0,1.0,867.3199999999999,1,0,1
643.22,1,1,0,64.0,0,93.0,1.0,1035.86,2,1,1
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,1,0,0
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,2,0,0
30.229999999999997,1,2,0,44.0,0,99.0,1.0,481.13,0,0,1
112.05,0,31,0,26.0,3,159.0,1.0,1122.88,1,0,0
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,2,0,0
13.71,0,10,2,38.0,1,148.0,1.0,8342.79,0,0,1
96.54,1,27,1,58.0,2,95.0,1.0,7182.22,2,0,0
79.35,1,20,2,67.0,2,70.0,1.0,1692.15,2,0,2
101.04,1,35,0,27.0,3,160.0,1.0,1695.57,1,0,3
74.42,1,12,2,49.0,1,68.00000000000001,1.0,6264.21,0,0,2
39.66,1,41,1,52.0,1,169.0,1.0,8497.34,0,0,3
99.36,1,39,0,40.0,0,45.99999999999999,1.0,1272.12,0,0,3
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,2,0,2
426.93,1,29,0,19.0,3,247.99999999999997,1.0,476.18999999999994,1,0,0
133.73,0,38,2,25.0,3,123.0,1.0,1872.2200000000003,1,0,3
222.39,1,41,2,49.0,1,73.0,1.0,3117.39,0,0,3
215.94,0,41,2,22.0,3,140.0,1.0,1841.69,1,0,3
826.23,1,7,0,29.0,0,209.0,1.0,7580.590000000001,1,1,1
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,2,0,1
202.86,0,22,1,61.0,0,149.0,1.0,7642.250000000001,2,0,2
268.39,1,24,0,26.0,3,171.0,1.0,136.74,1,0,0
137.35,0,34,3,40.0,0,220.0,1.0,12662.66,0,0,3
712.75,1,30,1,44.0,0,25.000000000000004,1.0,8126.0599999999995,0,1,0
353.82,1,25,0,42.0,0,143.0,1.0,705.7499999999999,0,0,0
212.74,1,39,1,27.0,1,128.0,1.0,7645.469999999999,1,0,3
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,0,0,1
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,0,0,2
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,2,0,0
739.28,0,40,1,58.0,0,47.0,1.0,11905.64,2,1,3
390.35,0,29,0,64.0,0,61.00000000000001,1.0,7095.88,2,0,0
242.03000000000003,1,9,2,58.0,1,123.99999999999999,1.0,4382.73,2,0,1
242.39000000000001,0,35,0,18.0,3,271.0,1.0,1328.73,3,0,3
135.03,1,37,0,23.0,3,180.0,1.0,1278.0,1,0,3
193.54,1,28,1,80.0,2,267.0,1.0,2929.51,2,0,0
617.36,1,18,3,29.0,1,61.00000000000001,1.0,8926.38,1,1,2
775.23,0,0,2,59.0,0,37.99999999999999,1.0,5977.59,2,1,1
266.57,1,12,0,72.0,2,100.00000000000001,1.0,7676.92,2,0,2
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,0,0,0
5.12,1,27,1,34.0,1,90.0,1.0,3293.01,1,0,0
119.11,1,11,0,57.0,1,131.0,1.0,7998.25,2,0,1
119.72,1,40,1,30.0,1,123.0,1.0,3435.34,1,0,3
107.4,1,41,2,58.0,0,32.0,1.0,344.07,2,0,3
115.92,1,33,0,53.0,2,57.0,1.0,3897.17,0,0,0
438.04,1,30,0,67.0,2,247.0,1.0,5358.95,2,0,0
677.29,1,15,2,27.0,1,287.0,1.0,627.79,1,1,2
296.0,1,19,1,35.0,0,247.99999999999997,1.0,7418.82,1,0,2
299.09,0,4,1,36.0,1,84.00000000000001,1.0,5615.26,1,0,1
461.52,0,10,1,24.0,3,44.0,1.0,1995.1799999999998,1,0,1
100.52,1,19,0,50.0,1,110.0,1.0,453.39,0,0,2
85.35,1,42,0,66.0,2,166.0,1.0,2173.76,2,0,3
79.76,1,33,1,39.0,1,170.0,1.0,6452.14,0,0,0
778.49,0,29,2,75.0,2,107.0,1.0,7713.67,2,1,0
386.38,1,31,2,42.0,1,135.0,1.0,5528.36,0,0,0
